,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
30,Bad Bunny,Pero Ya No,75pQqzwgCjUOSSy5CpmAjy,87,0.882,0.612,4,-6.103,1,0.118,0.0475,5.07e-06,0.182,0.742,147.982,160638,4
31,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,87,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,172127,4
32,Lil Baby,Live Off My Closet (feat. Future),6AyWdCtEn1DdxjnxPeojR2,79,0.807,0.678,6,-3.244,0,0.177,0.0345,0.0,0.0986,0.21,147.004,173061,4
33,Lil Baby,Commercial (feat. Lil Uzi Vert),3tDqEKKUs6gf8zMvSuLyLA,78,0.892,0.486,11,-8.637,0,0.384,0.048,0.0,0.146,0.535,120.998,214215,4
34,Bad Bunny,Bichiyal,4j4w4CXm6BSr0s25wAWrrX,85,0.737,0.766,10,-4.242,0,0.0458,0.31,6.63e-06,0.114,0.662,93.956,196500,4
35,Bad Bunny,Soliá,7sOfmPd18RWp3FoCzpa7Kw,85,0.71,0.81,2,-5.507,1,0.0854,0.117,0.000132,0.154,0.184,92.041,159282,4
36,Bad Bunny,Ignorantes,38RIEav39FGi86jppxO0du,85,0.85,0.536,1,-5.161,1,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,210607,4
37,Billie Eilish,No Time To Die,73SpzrcaHk0RQPFP73vqVR,93,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265,4
38,Bad Bunny,Vete,2n7ohqg1s68ToAHh4u9mcW,84,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024,4
39,Bad Bunny,25/8,4NqQaovM14WR2hNPMFxgjb,84,0.761,0.732,4,-5.469,0,0.0549,0.092,0.0,0.0716,0.542,151.982,243276,4
40,Bad Bunny,La Zona,5kqNIqFjijuzvVLhuY9B8j,83,0.762,0.801,1,-3.661,0,0.0409,0.2,7.04e-05,0.254,0.81,93.992,136893,4
41,Bad Bunny,A Tu Merced,4r9jkMEnArtWGH2rL2FZl0,84,0.86,0.791,0,-4.784,1,0.0568,0.169,0.000106,0.106,0.887,92.023,175918,4
42,Bad Bunny,Que Malo,53v2u51nq3CxiKUNphRzP1,84,0.802,0.787,7,-6.181,0,0.0599,0.0832,0.0,0.153,0.446,94.026,167975,4
43,Bad Bunny,Está Cabrón Ser Yo,4saHEjXw7O1NXJOzBkUKKG,84,0.81,0.854,10,-3.999,0,0.254,0.0732,0.0,0.123,0.879,154.083,227939,4
44,Bad Bunny,Una Vez,5J7teKIJGtqVypgYI6sqXj,83,0.55,0.598,11,-5.402,0,0.0831,0.132,2.58e-06,0.0955,0.543,83.836,232496,4
45,Lil Baby,Emotionally Scarred,7ge7BHazYbVKi8qyZUX1Bm,76,0.585,0.641,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.284,197530,4
46,Bad Bunny,P FKN R,0fgsKar6uBO08vzHXkTjWi,82,0.82,0.635,5,-5.749,0,0.0772,0.409,0.0,0.244,0.528,101.024,258280,4
47,Lil Baby,Grace (feat. 42 Dugg),01JMnRUs2YOK6DDpdQASGY,74,0.817,0.513,10,-6.263,0,0.394,0.38,0.0,0.109,0.177,123.029,203438,4
48,Bad Bunny,<3,4MZSqgwlE71CWZ6qQ3gkKm,83,0.631,0.665,10,-7.589,0,0.229,0.602,1.7e-06,0.152,0.634,80.353,157967,4
49,Powfu,death bed (feat. beabadoobee),7eJMfftS33KTjuF7lTsMCx,90,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4
50,Bad Bunny,Hablamos Mañana,1V8XneTrX6kKeoxYbk4x6h,83,0.683,0.677,1,-4.496,1,0.0469,0.0869,0.0,0.0998,0.514,156.019,240253,4
51,Bad Bunny,Puesto Pa' Guerrial,5gCg2qMPzKkW4jS4dBKdDs,81,0.867,0.686,4,-5.342,1,0.221,0.311,0.0,0.1,0.658,139.968,190207,4
52,Polo G,Go Stupid,74fV8TuLZKVzSIOOGu8wwI,84,0.92,0.833,1,-3.18,1,0.253,0.0277,0.0,0.0596,0.645,141.033,165726,4
53,Lil Baby,No Sucker (feat. Moneybagg Yo),6A9wHAasMxed0firnDao1K,73,0.9,0.846,0,-4.884,1,0.224,0.025,0.0,0.204,0.851,129.966,188607,4
54,Lil Baby,Get Ugly,20Yz5dzjdTCVjXte9KrJbi,73,0.681,0.414,1,-6.944,0,0.223,0.177,0.0,0.178,0.0734,148.03,155832,4
55,Lil Baby,Woah,02RCbjb9czvQKNGBmEmWob,73,0.883,0.599,11,-5.551,1,0.248,0.0177,0.0,0.179,0.413,142.976,183011,4
56,Lil Baby,Forever (feat. Lil Wayne),3EVzllf30zIBAtKb75bs1W,73,0.619,0.668,4,-2.115,0,0.271,0.0799,0.0,0.122,0.147,76.514,201616,4
57,Lil Baby,How,2b7rt5gCEy2p2zTp656s4U,73,0.582,0.488,2,-8.208,1,0.455,0.00168,0.0,0.0941,0.309,80.322,182000,4
58,A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",733c1CWmIGymoQXdp7Us88,84,0.819,0.654,11,-6.665,0,0.136,0.517,0.0,0.0996,0.455,133.503,188563,4
59,Lil Baby,Same Thing,2XEsbmynS9dLSzNSuZzfXF,73,0.902,0.85,7,-6.39,1,0.358,0.0389,0.0,0.0838,0.556,120.132,162791,5
60,Lil Baby,Sum 2 Prove,5f4Hy5mw5SRaUgXX9c6P5S,72,0.827,0.552,4,-7.571,0,0.274,0.0169,0.0,0.122,0.408,124.011,205760,4
61,Lil Baby,We Should (feat. Young Thug),5ixKkLQSriCQakDWbdW8qD,72,0.562,0.604,9,-7.498,0,0.197,0.326,0.0,0.416,0.562,83.355,176540,4
62,Justin Bieber,Yummy,41L3O37CECZt3N7ziG2z7l,93,0.687,0.514,9,-6.612,0,0.0897,0.366,0.0,0.116,0.494,145.921,210427,4
63,Lil Baby,Can't Explain,3PSUg0M68bXMb8vQJIPMZO,70,0.642,0.372,10,-10.201,1,0.582,0.0365,0.0,0.149,0.119,160.009,181341,4
64,Lil Baby,Consistent,7euzAmn980JdEcYbIeWHtB,70,0.817,0.439,0,-7.635,1,0.505,0.00434,0.0,0.282,0.214,149.967,181011,4
65,Lil Baby,Forget That (feat. Rylo Rodriguez),7wxl36fAGU3Afv87ZblUwg,70,0.897,0.574,8,-8.017,1,0.406,0.0498,6.38e-06,0.122,0.769,150.085,167172,4
66,Lil Baby,"Catch The Sun - From ""Queen & Slim: The Soundtrack""",7Fos4vYGRc7HYzzrKCEzAE,70,0.466,0.653,1,-6.679,1,0.123,0.116,0.0,0.14,0.112,82.463,182330,4
67,Lil Baby,Gang Signs,1nX1wW2WuCEnc2eDOBOaFd,69,0.82,0.793,0,-5.77,1,0.0975,0.0145,0.0,0.362,0.531,85.009,169783,4
68,Lil Baby,Hurtin,1sMalYr4ASm3kOr3K9JEh6,68,0.804,0.422,6,-8.788,0,0.35,0.0624,1.41e-06,0.137,0.157,93.871,163653,4
69,Lil Baby,Solid,3Zb5xLEfPAyqvjHzCVOSXX,68,0.825,0.589,10,-6.875,0,0.451,0.0166,1.53e-06,0.135,0.339,156.037,185854,4
70,Lady Gaga,Stupid Love,2kJu14V7hbZw3I4K8L8SXb,89,0.676,0.815,8,-4.294,1,0.0625,0.00146,0.00041,0.275,0.796,117.973,193531,4
71,Jonas Brothers,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,89,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,180645,4
72,Khalid,Know Your Worth,0TrPqhAMoaKUFLR7iYDokf,87,0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007,181436,4
73,Selena Gomez,Lose You To Love Me,4l0Mvzj72xxOpRrp6h8nHi,89,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,206459,4
74,Sam Smith,To Die For,2ZTYlnhhV1UAReg7wIGolx,88,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4
75,Dua Lipa,Physical,5px6upUHM3fhOP621Edp4V,91,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.962,193829,4
76,Future,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",4iiWcajF1fEUpwcUewc464,82,0.81,0.566,5,-8.33,1,0.433,0.107,0.0,0.122,0.582,142.069,315346,4
77,Ali Gatie,What If I Told You That I Love You,74D7JUfU6HYeMx4bZhsHnG,82,0.605,0.365,7,-11.144,1,0.111,0.63,6.83e-06,0.0554,0.224,84.628,193668,4
78,Mac Miller,Good News,1DWZUa5Mzf2BwzpHtgbHPY,81,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,342040,4
79,J Balvin,QUE PRETENDES,0xQEQ4Ktx2V0VKXM786Cw4,0,0.662,0.806,10,-4.376,0,0.277,0.0341,0.0,0.333,0.933,93.765,224213,4
80,J Balvin,LA CANCIÓN,2MjX2LjcaDAIz0xvaVsbA8,0,0.734,0.667,7,-5.694,1,0.3,0.14,1.27e-05,0.106,0.451,176.018,244413,4
81,blackbear,me & ur ghost,4yJiXq86uM56uIfIZgE440,84,0.755,0.631,7,-6.128,1,0.0261,0.0638,0.0,0.0929,0.881,100.026,200400,4
82,Selena Gomez,Rare,7HMmFQsKsljwTw8bS7lu19,87,0.838,0.545,5,-6.713,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998,220590,4
83,G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),0JjM9bKm4wrwohMslcm892,84,0.803,0.759,7,-4.692,0,0.0494,0.00509,0.0,0.0921,0.284,104.0,213308,4
84,BTS,ON,2QyuXBcV1LJ2rq01KhreMF,87,0.583,0.817,9,-5.146,0,0.0987,0.118,0.0,0.338,0.438,105.936,246381,4
85,Jhené Aiko,B.S. (feat. H.E.R.),63wx9vdskaXbYxyDx4oJCZ,76,0.617,0.525,8,-10.426,0,0.12,0.554,1.1e-06,0.135,0.377,135.781,212867,4
86,Joji,Run,6p8eEdiZLKJH8tcjGZuNTK,83,0.447,0.72,7,-3.954,1,0.0332,0.0416,0.000297,0.614,0.362,157.892,195000,3
87,G Herbo,PTSD,3jT2LKH0RSbQ8jIUNFzXm5,79,0.883,0.808,1,-3.158,0,0.183,0.0317,0.0,0.207,0.805,119.012,232065,4
88,Mac Miller,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,80,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,209440,4
89,Tory Lanez,Broke In A Minute,2ZrAjMSmlbDIil0JaVgTHh,80,0.929,0.7,0,-5.595,0,0.0906,0.144,0.0,0.349,0.802,120.009,132024,4
90,BTS,ON (Feat. Sia),3IB5qOeMayvpOdHxYCL5tZ,86,0.591,0.848,9,-4.397,0,0.0828,0.137,0.0,0.372,0.386,105.922,246816,4
91,Selena Gomez,Feel Me,6XXYdF6pJR1K3wKvuxmu7n,85,0.71,0.808,2,-6.703,0,0.0433,0.44,0.000773,0.0734,0.392,99.989,226003,4
92,Khalid,Eleven,1ToprX3cpBiXoAe5eNSk74,83,0.701,0.396,4,-10.182,0,0.119,0.112,0.0209,0.223,0.115,129.004,206361,4
93,Nicki Minaj,Yikes,75dLEqanQTupF3dtP9exT5,80,0.911,0.637,8,-8.381,1,0.447,0.0409,3.68e-05,0.238,0.66,149.996,156882,4
94,Niall Horan,No Judgement,5IUOU5xkzGHsRFOYNu3GSK,84,0.723,0.726,1,-3.835,0,0.0472,0.0564,0.000126,0.057,0.962,100.051,176283,4
95,Gunna,SKYBOX,604JscnWY4wNi97NWbGflF,60,0.77,0.702,1,-6.631,1,0.21,0.0918,0.0,0.0935,0.304,140.97,178097,4
96,A Boogie Wit da Hoodie,Me and My Guitar,6cZH4rX1KTt1aJ3Ql6Ynja,78,0.644,0.587,7,-6.736,0,0.353,0.473,0.0,0.0759,0.68,173.972,161765,4
97,Demi Lovato,I Love Me,2IHLaN6wwYKQ3S24NsQqpA,82,0.664,0.561,6,-7.031,1,0.0495,0.00261,0.0,0.0764,0.713,150.093,203672,4
98,Swae Lee,Someone Said,5awaEIMiJboRO7ycF6UOot,78,0.904,0.492,2,-9.657,1,0.155,0.00119,0.364,0.125,0.257,149.982,223275,4
99,Jhené Aiko,P*$$Y Fairy (OTW),48KXAIruJ07kJVCWOGohMV,79,0.572,0.519,2,-7.092,0,0.212,0.536,0.0,0.102,0.35,128.331,181860,4
